family,label,variable,value,t_fit_end_s,runs,D_m2_s,D_std_m2_s,t90_mean_s,t90_std_s
empty,,,null,2.0,20,0.02136550429064767,0.0011362949470488217,22.173199599999997,2.0734223302603483
single_R,R0.330,Radio del obstáculo (m),0.33,4.0,20,0.0052642004149755384,0.00039514853109211273,16.0799352,1.996659646506466
multi_barrier,k18,Cantidad de columnas pegadas,18,4.5,20,0.0032124855040715937,0.00036661086263758454,14.542950299999998,1.6978743078079501
multi_barrier_rows_k,k17_n01,Columnas k / filas n,"[17, 1]",2.5,20,0.004142518340934937,0.0004163241073429582,13.641527799999997,1.8399747318621296
