value,K,runs,t90_mean_s,t90_std_s,no_alcanzado
0.1,32,20,31.860082950000002,3.4630086710696255,0
0.2,36,20,30.523391649999997,3.7559472840870343,0
0.3,44,20,36.4754012,5.157966615463895,0
0.4,52,20,35.397367100000004,3.2171292261258078,0
