n,k,t_fit_end_s,runs,D_m2_s,D_std_m2_s,t90_mean_s,t90_std_s
0,18,4.5,20,0.0032124855040715937,0.00036661086263758454,14.542950299999998,1.6978743078079501
1,17,2.5,20,0.004142518340934937,0.0004163241073429582,13.641527799999997,1.8399747318621296
2,15,2.5,20,0.004118919565574039,0.0004704753169552306,13.69314255,1.6224852679733568
3,14,2.0,20,0.003944861527270949,0.0003775319164378139,15.499123199999996,2.167723792719004
4,14,2.0,20,0.0027096833496347934,0.00024502910912643837,18.2992525,1.7830913296364208
