value,K,runs,t90_mean_s,t90_std_s,no_alcanzado,no_generado
0.025,1,100,21.955048150000003,2.563763744744967,0,0
0.05,1,100,22.04850988,2.636455533307069,0,0
0.1,1,100,20.951782459999993,2.2124416444210393,0,0
0.15,1,100,20.19970568,2.175547244898263,0,0
0.2,1,100,19.240923940000002,2.171628187715726,0,0
0.25,1,100,18.304933850000005,2.3850636252421062,0,0
0.3,1,100,16.78028298,2.0437986864194126,0,0
0.32,1,100,16.277510829999997,1.9624167116533697,0,0
0.33,1,100,16.024273720000004,1.9851554097731843,0,0
