value,K,runs,t90_mean_s,t90_std_s,no_alcanzado
0.02,13,20,21.063996850000002,2.7303045349886346,0
0.03,10,20,20.43636195,2.287706051436253,0
0.05,6,20,20.34030205,2.730883596009396,0
