N,runs,time_mean_s,time_std_s,events_mean
25,20,0.0018420637,5.3131196176713597e-05,2151.5
50,20,0.0115340078,0.0010680173248240772,6802.75
100,20,0.0880540068,0.002433903941041191,25328.4
150,20,0.32925847444999995,0.003616492634634264,59660.15
200,20,0.9567109318499998,0.016495792555769464,115854.35
300,20,5.422137221600001,0.041983938098716554,331176.55
400,20,22.311073756899997,0.06309924512592834,810336.9
