value,K,runs,t90_mean_s,t90_std_s,no_alcanzado
0.15,1,20,29.261109349999998,2.596053625608406,0
0.2,1,20,25.65711455,3.9946662659857943,0
0.25,1,20,23.99554015,3.976192429281352,0
0.3,1,20,22.45119965,2.3226122090272066,0
0.35,1,20,22.896347350000003,2.4679629860917216,0
0.4,1,20,23.3271745,2.3449427999622032,0
0.45,1,20,22.470689,3.0261827574682614,0
0.5,1,20,20.804732350000002,2.1222916397701175,0
0.55,1,20,22.209773350000003,3.466797971530096,0
0.6,1,20,20.746785,2.4003222760181275,0
