value,K,runs,t90_mean_s,t90_std_s,no_alcanzado
1,1,20,20.746785,2.4003222760181275,0
2,2,20,23.506508,2.422762322830306,0
4,4,20,22.029145900000003,2.1792860841382486,0
6,6,20,23.9690356,2.709732119098188,0
8,8,20,23.45368775,2.9122888938364158,0
12,12,20,25.395714400000003,2.856781157074559,0
16,16,20,26.054177349999996,3.3948204323444404,0
