model,rho,eta,seeds,transient_fraction,va_mean,va_std,s_mean,s_std
vicsek,0.1592,6.28,50,0.5,0.22238543841663333,0.0020502167610502962,0.16594312275089965,0.029141307800024396
vicsek,0.3183,0.0,50,0.5,0.9984061328988405,0.008429281866928777,0.9782002199120352,0.0763568060755059
vicsek,0.3183,0.25,50,0.5,0.9740823044702119,0.011853241577242662,0.821671581367453,0.0825485449118275
vicsek,0.3183,0.5,50,0.5,0.9188034242542984,0.03343055412540556,0.8066765793682527,0.08926077166456195
vicsek,0.3183,0.75,50,0.5,0.8311483702439024,0.049276395552360755,0.7575832167133147,0.07466550170314706
vicsek,0.3183,1.0,50,0.5,0.7483475253018793,0.06660602032893016,0.7281642343062775,0.08404536630274784
vicsek,0.3183,1.5,50,0.5,0.595795280279888,0.05243978042208989,0.632953068772491,0.07115742826627136
vicsek,0.3183,2.0,50,0.5,0.41406549251499397,0.046670349792303396,0.4776746801279488,0.07011588606432177
vicsek,0.3183,2.5,50,0.5,0.29587318202319074,0.025031213936928236,0.3404163334666134,0.05130026444878394
vicsek,0.3183,3.0,50,0.5,0.23482325603358656,0.013739131119251438,0.2756907237105158,0.03834658884271847
vicsek,0.3183,3.5,50,0.5,0.19626428462215112,0.007201787258626426,0.22348210715713715,0.03500584480812599
vicsek,0.3183,4.0,50,0.5,0.17802819129148342,0.004262686473996578,0.19013544582167136,0.0366258075871407
vicsek,0.3183,4.5,50,0.5,0.1668543848060776,0.0020447281772839787,0.1671311475409836,0.024085465366438377
vicsek,0.3183,5.0,50,0.5,0.16089852541383448,0.001880698183971894,0.1603331167532987,0.027621241875877917
vicsek,0.3183,5.5,50,0.5,0.1580228493562575,0.0015711418194285724,0.16632447021191527,0.035693183863692315
vicsek,0.3183,6.28,50,0.5,0.15718846469412237,0.0017002835066769779,0.16001174530187925,0.04238266107768713
vicsek,2.0,0.0,50,0.5,0.9999986091908092,7.886763236122151e-06,0.9998638361638362,0.0006760769829153695
vicsek,2.0,0.25,50,0.5,0.9953595492107893,0.0008631501330189142,0.997298101898102,0.004086422731744904
vicsek,2.0,0.5,50,0.5,0.9804051377422577,0.002681466041660123,0.9937115884115884,0.006449541775424063
vicsek,2.0,0.75,50,0.5,0.9553577575224775,0.005019684341080472,0.9902154845154846,0.007505461425150053
vicsek,2.0,1.0,50,0.5,0.9232558124875125,0.006933658345810452,0.9879565434565434,0.008095763499159542
vicsek,2.0,1.5,50,0.5,0.8311433814785215,0.015279587686624786,0.9797835164835165,0.014034247026670065
vicsek,2.0,2.0,50,0.5,0.7048620825174826,0.02623436826673775,0.9760983016983018,0.010897231951630419
vicsek,2.0,2.5,50,0.5,0.5557123792807193,0.03303340148525925,0.9692142857142856,0.01260805055842428
